Linea: 1 Tipo: TKN_PROGRAM Texto: program 
Linea: 1 Tipo: TKN_SYMBOL Texto: { 
Linea: 2 Tipo: TKN_IDENTIFICADOR Texto: int 
Linea: 2 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 2 Tipo: TKN_SYMBOL Texto: , 
Linea: 2 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 2 Tipo: TKN_SYMBOL Texto: ; 
Linea: 3 Tipo: TKN_IDENTIFICADOR Texto: float 
Linea: 3 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 3 Tipo: TKN_SYMBOL Texto: , 
Linea: 3 Tipo: TKN_IDENTIFICADOR Texto: b 
Linea: 3 Tipo: TKN_SYMBOL Texto: ; 
Linea: 4 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 4 Tipo: TKN_SYMBOL Texto: = 
Linea: 4 Tipo: TKN_INT Texto: 5 
Linea: 4 Tipo: TKN_SYMBOL Texto: ; 
Linea: 4 Tipo: TKN_COMMENT Texto: // comentario 1 
Linea: 5 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 5 Tipo: TKN_SYMBOL Texto: = 
Linea: 5 Tipo: TKN_INT Texto: 4 
Linea: 5 Tipo: TKN_SYMBOL Texto: ; 
Linea: 5 Tipo: TKN_COMMENT_ML Texto: /* comentario 2 */ 
Linea: 6 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 6 Tipo: TKN_SYMBOL Texto: = 
Linea: 6 Tipo: TKN_FLOAT Texto: 0.0 
Linea: 6 Tipo: TKN_SYMBOL Texto: ; 
Linea: 7 Tipo: TKN_IDENTIFICADOR Texto: b 
Linea: 7 Tipo: TKN_SYMBOL Texto: = 
Linea: 7 Tipo: TKN_FLOAT Texto: 3.0 
Linea: 7 Tipo: TKN_SYMBOL Texto: ; 
Linea: 8 Tipo: TKN_IDENTIFICADOR Texto: do 
Linea: 8 Tipo: TKN_SYMBOL Texto: { 
Linea: 9 Tipo: TKN_IDENTIFICADOR Texto: if 
Linea: 9 Tipo: TKN_SYMBOL Texto: ( 
Linea: 9 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 9 Tipo: TKN_SYMBOL Texto: < 
Linea: 9 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 9 Tipo: TKN_SYMBOL Texto: ) 
Linea: 9 Tipo: TKN_IDENTIFICADOR Texto: then 
Linea: 9 Tipo: TKN_SYMBOL Texto: { 
Linea: 10 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 10 Tipo: TKN_SYMBOL Texto: = 
Linea: 10 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 10 Tipo: TKN_SYMBOL Texto: - 
Linea: 10 Tipo: TKN_INT Texto: 1 
Linea: 10 Tipo: TKN_SYMBOL Texto: ; 
Linea: 11 Tipo: TKN_SYMBOL Texto: } 
Linea: 11 Tipo: TKN_IDENTIFICADOR Texto: else 
Linea: 11 Tipo: TKN_SYMBOL Texto: { 
Linea: 12 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 12 Tipo: TKN_SYMBOL Texto: = 
Linea: 12 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 12 Tipo: TKN_SYMBOL Texto: - 
Linea: 12 Tipo: TKN_INT Texto: 2 
Linea: 12 Tipo: TKN_SYMBOL Texto: ; 
Linea: 13 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 13 Tipo: TKN_SYMBOL Texto: = 
Linea: 13 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 13 Tipo: TKN_SYMBOL Texto: * 
Linea: 13 Tipo: TKN_IDENTIFICADOR Texto: x 
Linea: 13 Tipo: TKN_SYMBOL Texto: + 
Linea: 13 Tipo: TKN_IDENTIFICADOR Texto: b 
Linea: 13 Tipo: TKN_SYMBOL Texto: ; 
Linea: 14 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 14 Tipo: TKN_SYMBOL Texto: = 
Linea: 14 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 14 Tipo: TKN_SYMBOL Texto: - 
Linea: 14 Tipo: TKN_INT Texto: 1 
Linea: 14 Tipo: TKN_SYMBOL Texto: ; 
Linea: 15 Tipo: TKN_SYMBOL Texto: } 
Linea: 16 Tipo: TKN_IDENTIFICADOR Texto: fi 
Linea: 17 Tipo: TKN_IDENTIFICADOR Texto: while 
Linea: 17 Tipo: TKN_SYMBOL Texto: ( 
Linea: 17 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 17 Tipo: TKN_SYMBOL Texto: == 
Linea: 17 Tipo: TKN_INT Texto: 3 
Linea: 17 Tipo: TKN_SYMBOL Texto: ) 
Linea: 17 Tipo: TKN_SYMBOL Texto: { 
Linea: 18 Tipo: TKN_IDENTIFICADOR Texto: write 
Linea: 18 Tipo: TKN_IDENTIFICADOR Texto: a 
Linea: 18 Tipo: TKN_SYMBOL Texto: ; 
Linea: 19 Tipo: TKN_SYMBOL Texto: } 
Linea: 20 Tipo: TKN_SYMBOL Texto: } 
Linea: 20 Tipo: TKN_IDENTIFICADOR Texto: until 
Linea: 20 Tipo: TKN_SYMBOL Texto: ( 
Linea: 20 Tipo: TKN_IDENTIFICADOR Texto: y 
Linea: 20 Tipo: TKN_SYMBOL Texto: >= 
Linea: 20 Tipo: TKN_INT Texto: 0 
Linea: 20 Tipo: TKN_SYMBOL Texto: ) 
Linea: 20 Tipo: TKN_SYMBOL Texto: ; 
Linea: 21 Tipo: TKN_SYMBOL Texto: } 
